Name,Contact,Address,Website,Google Maps URL
BALAJI AUTO BULLET SPECIALIST,08830879392,"Trimurti Colony, opposite Paranjpe School, beside Balaji Traders, Azad Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/BALAJI+AUTO+BULLET+SPECIALIST/data=!4m7!3m6!1s0x3bc2bf7d2468c8b3:0x2b9ae6f56b050eac!8m2!3d18.5022233!4d73.8073114!16s%2Fg%2F11wmzdbg38!19sChIJs8hoJH2_wjsRrA4Fa_Xmmis?authuser=0&hl=en&rclk=1
Moto wheels,,"Londhe Wada, Chaitanya Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Moto+wheels/data=!4m7!3m6!1s0x3bc2bf2cafd884b7:0x7dc201dc5828e2ca!8m2!3d18.5011337!4d73.8128743!16s%2Fg%2F11yq62vjjv!19sChIJt4TYryy_wjsRyuIoWNwBwn0?authuser=0&hl=en&rclk=1
Tirupati Auto garage,09850033486,"Mayur Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Tirupati+Auto+garage/data=!4m7!3m6!1s0x3bc2bfbf1acb0c4b:0x251dd8ba2170f19a!8m2!3d18.505335!4d73.8147035!16s%2Fg%2F11fzfdsqf2!19sChIJSwzLGr-_wjsRmvFwIbrYHSU?authuser=0&hl=en&rclk=1
Autonimbus Bike Service & Repair – Bavdhan Pune,09527382808,"BLOCK-3, MEGH MALHAR RAGA, Shop no 4, Megh Malhar Raga Near LMD Chowk, Bavdhan, Lane No. 2, behind Maratha Mandir Banquets, Vaidehi Enclave, Bavdhan, Pune, Maharashtra 411021",,https://www.google.com/maps/place/Autonimbus+Bike+Service+%26+Repair+%E2%80%93+Bavdhan+Pune/data=!4m7!3m6!1s0x3bc2be5cb59ef8a7:0x4f1219f487789cd7!8m2!3d18.511669!4d73.7757094!16s%2Fg%2F11d_923d49!19sChIJp_ietVy-wjsR15x4h_QZEk8?authuser=0&hl=en&rclk=1
Pappu Auto Garage Karve Nagar,08625009082,"Rajaram Bridge Warje, Shop No. 2 S. 8/13A, lane no. 1 near W C Durga Mata Mandir Karvenagar Near cummis collge karvenagar, Sinhgad Rd, Manik Baug, Pune, Maharashtra 411052",,https://www.google.com/maps/place/Pappu+Auto+Garage+Karve+Nagar/data=!4m7!3m6!1s0x3bc2bfb5c97e07c3:0x5e9097ec75cb6992!8m2!3d18.4882666!4d73.8207292!16s%2Fg%2F11h578ljw3!19sChIJwwd-ybW_wjsRkmnLdeyXkF4?authuser=0&hl=en&rclk=1
Vishwaratna Automobiles,,"Rambaug Colony Rd, Rambaug Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Vishwaratna+Automobiles/data=!4m7!3m6!1s0x3bc2bf96207447c9:0x253c03f1d6feec1!8m2!3d18.5106877!4d73.8181656!16s%2Fg%2F12mkw9b2z!19sChIJyUd0IJa_wjsRwe5vHT_AUwI?authuser=0&hl=en&rclk=1
Sanchita Auto Care,09822898049,"Survey No.131, Rajyog Society, Gitanjali Colony, Warje, Pune, Maharashtra 411058",,https://www.google.com/maps/place/Sanchita+Auto+Care/data=!4m7!3m6!1s0x3bc2bfd975d42113:0xfc98fc064175f3f5!8m2!3d18.4845848!4d73.8032156!16s%2Fg%2F11dxkybc24!19sChIJEyHUddm_wjsR9fN1QQb8mPw?authuser=0&hl=en&rclk=1
Biker's Gear,07038966043,"CTS No. 414, Karve Rd, near Shivaji Maharaj Statue, Gaonthan, Chaitanya Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Biker%27s+Gear/data=!4m7!3m6!1s0x3bc2bf23b206b309:0x678e9ff0aaa86cea!8m2!3d18.5009515!4d73.8138046!16s%2Fg%2F11y_xd667h!19sChIJCbMGsiO_wjsR6myoqvCfjmc?authuser=0&hl=en&rclk=1
Bike Point Shri Siddhivinayak Auto,,"91, Shri shivray partishthan school, near Raja, Rambaug Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Bike+Point+Shri+Siddhivinayak+Auto/data=!4m7!3m6!1s0x3bc2bf4cbcc62dd5:0x246c54abd9c99e29!8m2!3d18.5116303!4d73.8125444!16s%2Fg%2F11kbrbwfy_!19sChIJ1S3GvEy_wjsRKZ7J2atUbCQ?authuser=0&hl=en&rclk=1
JK Auto,09561798295,"Ideal Park - A, near Ideal ground, Loknath Society, Ideal Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/JK+Auto/data=!4m7!3m6!1s0x3bc2bfb8bb3025dd:0x68d67f42c24e7ad1!8m2!3d18.5077909!4d73.8179037!16s%2Fg%2F11gbkxvwmr!19sChIJ3SUwu7i_wjsR0XpOwkJ_1mg?authuser=0&hl=en&rclk=1
Bike vision,,"Shop no. kanchanban society, shivtirthnagar, 411038,, 18, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Bike+vision/data=!4m7!3m6!1s0x3bc2bfc1bafc15db:0x2a2e157de55dd60c!8m2!3d18.4995178!4d73.8164016!16s%2Fg%2F11bwnd0ghg!19sChIJ2xX8usG_wjsRDNZd5X0VLio?authuser=0&hl=en&rclk=1
ASA Bikes Garage,,"GR4M+776, opposite kalbhairavnath mandir, Erandwana Gaothan, Erandwane, Pune, Maharashtra 411004",,https://www.google.com/maps/place/ASA+Bikes+Garage/data=!4m7!3m6!1s0x3bc2bf005690255d:0x7031d805c1de355a!8m2!3d18.5056738!4d73.8331367!16s%2Fg%2F11vr24cj78!19sChIJXSWQVgC_wjsRWjXewQXYMXA?authuser=0&hl=en&rclk=1
Ashok Auto,09921215656,"Shop No.1, Vikram Heights, opp. Rahul Colony, Paschimanagri, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Ashok+Auto/data=!4m7!3m6!1s0x3bc2bfc04ea05119:0xcd45674e1576a925!8m2!3d18.500506!4d73.8162428!16s%2Fg%2F1pp2twybk!19sChIJGVGgTsC_wjsRJal2FU5nRc0?authuser=0&hl=en&rclk=1
